Intervention,Lifespan (20%),Healthspan (10%),Conservation (10%),Human Trials (20%),Safety & Tolerability (20%),Biomarkers (10%),Cost/Access (10%),Total score,Weighted score,Rank
3. Acarbose,4,4,4,3,3,4,5,27,3.7,1†
5. SGLT2 inhibitors,3,4,4,4,4,4,3,26,3.7,1†
4. GLP-1 Receptor Agonists,3,4,4,4,4,4,2,25,3.6,3†
17. L-deprenyl,4,3,4,3,4,3,4,25,3.6,3†
1. Rapamycin/mTOR Inhibitors,4,4,5,3,3,3,3,25,3.5,5†
2. Metformin,1,3,5,3,5,4,5,26,3.5,5†
9. NAD+ Restoration (NMN/NR),3,3,5,3,4,4,3,25,3.5,5†
14. Glutathione Precursors (GlyNAC),3,3,4,3,4,3,4,24,3.4,8†
27. Gut Microbiome Modulation,3,3,4,3,4,3,4,24,3.4,8†
10. Mitochondria (Urolithin A),3,4,4,3,4,3,3,24,3.4,10
12. Autophagy Inducers (Spermidine),3,4,5,2,4,2,4,24,3.3,11
7. Senolytics (Dasatinib + Quercetin),3,4,4,3,3,3,2,22,3.1,12
6. Alpha-ketoglutarate (AKG),3,3,4,2,4,2,4,22,3.1,13†
8. Natural Senolytics (Fisetin),3,3,4,2,4,2,4,22,3.1,13†
28. Anti-Inflammatory Therapies,2,3,4,3,3,4,4,23,3.1,13†
18. Epigenetic Reprogramming (OSK),5,4,4,2,2,4,1,22,3.1,16
30. Plasma dilution/apheresis,2,3,4,3,3,3,2,20,2.8,17
16. Steroids (17α-estradiol),4,3,4,1,3,2,3,20,2.8,18
21. Stem Cell Therapy,2,4,4,3,3,2,1,19,2.7,19†
23. Xenotransplantation,4,4,3,2,2,3,1,19,2.7,19†
26. Telomere Extension Therapies,3,3,4,2,2,3,1,18,2.5,21
11. Mitochondria (Elamipretide/SS-31),2,3,4,2,3,2,1,17,2.4,22†
19. Chemical Reprogramming,3,2,4,1,2,4,2,18,2.4,22†
13. Chloroquine,2,2,4,2,2,2,4,18,2.4,24
24. Exosome Therapy,2,2,3,2,3,2,2,16,2.3,25
22. Synthetic Tissues/Organs,2,4,3,2,2,3,1,17,2.3,26†
25. Gene Therapy,3,3,4,1,2,3,1,17,2.3,26†
29. Young Blood Plasma and Parabiosis,2,3,3,2,2,2,1,15,2.1,28
20. Immunotherapy for Senescent Cells,2,2,4,1,2,2,1,14,1.9,29
15. Nordihydroguaiaretic Acid (NDGA),3,2,3,1,1,1,2,13,1.8,30
