Intervention,BaseWeightedScore,MeanRank_Weights±5%,Rank_CI2.5%,Rank_CI97.5%,P(Top1),P(Top3)
Acarbose,3.7,1.4897,1,2,0.5103,1
SGLT2 inhibitors,3.7,1.5103,1,2,0.4897,1
GLP-1 agonists,3.6,3.4974,3,4,0,0.5026
L-deprenyl,3.6,3.5026,3,4,0,0.4974
Rapamycin,3.5,5.9922,5,7,0,0
NAD+ Restoration (NMN/NR),3.5,5.9974,5,7,0,0
Metformin,3.5,6.0104,5,7,0,0
GlyNAC,3.4,8.5093,8,9,0,0
Mitochondria (Urolithin A),3.4,9.0014,8,10,0,0
Gut Microbiome Modulation,3.4,9.4893,9,10,0,0
Spermidine,3.3,11,11,11,0,0
Epigenetic reprogramming (OSK),3.1,13.9721,12,16,0,0
Anti-inflammatory,3.1,13.9946,12,16,0,0
Senolytics (D+Q),3.1,14.0003,12,16,0,0
Fisetin,3.1,14.0138,12,16,0,0
Alpha-ketoglutarate,3.1,14.0192,12,16,0,0
17α-estradiol,2.8,17.4984,17,18,0,0
Plasma dilution/apheresis,2.8,17.5016,17,18,0,0
Xenotransplantation,2.7,19.4921,19,20,0,0
Stem cell therapy,2.7,19.5079,19,20,0,0
Telomere extension,2.5,21,21,21,0,0
Chloroquine,2.4,22.9918,22,24,0,0
Chemical reprogramming,2.4,22.993,22,24,0,0
Elamipretide,2.4,23.0152,22,24,0,0
Gene therapy,2.3,25.988,25,27,0,0
Synthetic organs,2.3,25.9912,25,27,0,0
Exosome therapy,2.3,26.0208,25,27,0,0
Young blood plasma,2.1,28,28,28,0,0
CAR-T senolytics,1.9,29,29,29,0,0
NDGA,1.8,30,30,30,0,0
